,Cat Number,Site Number,Locality,Site,Name,Situation,AccNum,fileLocation
63,64,M50/1," Squibnocket Head, 80111
Martha' 3 Vineyard, Ma:", Squibnocket Cliff., Two pieces of undeoora, Bottom of black loam and shell.,1,peabody_files/Accession Files/1/1_0064.pdf.png
64,65,M50/1," Squibnocket Head, sou
Martha' 6 Vineyard, Ma:", Squibnocket 01 if f ., Piece of pottery., First shell layer above sca110ps.,1,peabody_files/Accession Files/1/1_0065.pdf.png
65,66,M50/1," Squibnocket Head, aou‘
Martha's Vineyard, Mal", Squibnocket 01 iff ., Small pieom, Found in looking over scrap.,1,peabody_files/Accession Files/1/1_0066.pdf.png
66,1548,nan,"Wt? From camp at ""Tom 1111]
near Mono Lake, Ga11f<",". pinon pine, handles ho
5‘“ over cord.", ”8:156:54” for 0333.9 at?,,18,peabody_files/Accession Files/10/18_1548.pdf.png
67,1549,nan," From camp near l'Willie
Mono Lake.",horsehair handles Mono Indians .," ""8.156! pottle £013-08???",,18,peabody_files/Accession Files/10/18_1549.pdf.png
68,1550,nan," Mary's Camp, Yosemite,", Miwok .," Einnowing plate.

A-._L1.l__._ L___‘ _A--l1",,18,peabody_files/Accession Files/10/18_1550.pdf.png
69,1551,nan," Lucy's camp, Yosemite,", Miwok.," [inhaling plate.

, _,-.II.",,18,peabody_files/Accession Files/10/18_1551.pdf.png
70,1552,nan," Soda Spring camp near
Plumas Oo. , California","\U'CUHULLIAF. luay, puaa&u Maidu.", l1n1_10_w1ng_ palate. Typi,,18,peabody_files/Accession Files/10/18_1552.pdf.png
71,1553,nan, Madera or Mariposa cou,"manposa counues o from root of tall ""brake‘I"," Basket made of the zoo

.__.__‘ 3A--..) 1.. 4.1.- .a-_.LL,I-|-I",,18,peabody_files/Accession Files/10/18_1553.pdf.png
72,1554,nan," Camp at ""Pioneer"" 1:: A
California.", Maidu., Cooking basket .,,18,peabody_files/Accession Files/10/18_1554.pdf.png
73,1555,nan," 'Blind Dicks Camp"" net
Yosemite Falls in Val]", Miwok .," Cooking pgsket, In us",,18,peabody_files/Accession Files/10/18_1555.pdf.png
74,1556,nan, California.,, Food_‘9§.sket. “Iona Ix;,,18,peabody_files/Accession Files/10/18_1556.pdf.png
75,1557,nan," ""Capt. Alleck's camp"",
Valley, California.","

Maidu."," Cooking basket. Has b

I—qA,",,18,peabody_files/Accession Files/10/18_1557.pdf.png
76,1558,nan," American Valley, 08.111", Ma idu .," 090k1ng paaket. Of w}

1——",,18,peabody_files/Accession Files/10/18_1558.pdf.png
77,1559,nan,I California.,"

Maidu.", Burden basket. (Plume.,,18,peabody_files/Accession Files/10/18_1559.pdf.png
78,1560,nan," Camp at “Williams Ram
Lake, California.",( mono lndl an, Burden baskej; of w}1]_._c_:,,18,peabody_files/Accession Files/10/18_1560.pdf.png
79,1561,nan," ""Bob's camp"", (America
Plumas Go. , Oaliforni:",of Willow and pine Kaidu., Burden_ basket. Gnawed,,18,peabody_files/Accession Files/10/18_1561.pdf.png
