,Figured,Name,Locality,CatNo,Situation,SiteNo,Site,PhotoNo,Remarks,OrigNo,AccNo,f_name
1574,,Plummet.,blush ill fall me ,2963,French am Section let. Shell pocket in human.,Me. 152/1,Nevin Shellheap,Photo.No.,,3732,25,25_2963.pdf.png
5481,,unfinished arrowhead,south wellfleet massachusetts ,14941,,Me. 152/7,Site of the Old Try Works in Meadow,,Round in 1920.,1162,141,141_14941.pdf.png
6570,,Piece of drilled bone,vicinity of pain labrador ,12024,,,Vicinity of Nain,,,,132,132_12024.pdf.png
5902,o,Individual food bowl.,california ,1590,,,Yosemite Indian. lliwok 7,Photo.No.,Lift of Mrs. Gertrude H. will NorwelL Pass.,,18,18_1590.pdf.png
5390,,Fragment of battered pebble,south wellfleet massachusetts ,14788,Josiah P. Grown's asparagus farm on north shore of Indian River about half way from main highway to point where river enters the meadow.,,Indian River,PhOtO-NO-,Round in 1918,991,141,141_14788.pdf.png
1895,,Pieces of swordfish sword.,blue hill fell lie ,775,French of.L Section 715. In black human below and she.layer.,Me. 152/1,Nevin Shellheap,,,,3,3_0775.pdf.png
7536,,a rumorstone I M,ipswich les ,9098,"Area. I sq. 9 H from 95. 426 from 1011. 7"" deep to top. in brown clay shell here). BIP'to top below date.",Me. 152/1,Great Beach Hill,,/ f..//,190,116,116_9098.pdf.png
8411,,Butt of arrowpoint.,warren main el ,6359,,,"Cemetery Opposite Stevens, Warren, Maine",,,,36,36_6359.pdf.png
2551,,Fragment of arrow point.,andover mass ,7304,7 at de up.,M12/43,Piggery,,Lift of Arthur M. Hofmanm Ballardvalm Pass.,333,92,92_7304.pdf.png
1957,,Plummet.,blue hill sang lie ,838,French 10.4'Section Of. In black human under hearth 5 at 550m. from top of heap.,Me. 152/1,Nevin Shellheap,,,,3,3_0838.pdf.png
476,,Whipped quart arrowpoint.,eastern of squibnocket pond martha spine arm mass ,330,Dec. 308 below shell.,M50/1,Hornblower Shell Heap,Photo.No.,,,2,2_0330.pdf.png
3334,,Worked fragment. false,my southwest shore ing get spend andover ,8592,"From West hole behind residence of Or'. Anna. of of of corner ofgaragm 145g"" into of. 13"" total 23"" below date.",He.152/1,Barron,,,,115,115_8592.pdf.png
2269,,Arrowboint.,to i set point rhode island ,6443,,M49/31,Betheia Farm,,Collected and presented by Maurice Sobbing Attleborm Pass.,,46,46_6443.pdf.png
4767,,arrow head,well fleet massachusetts ,14014,,,Site North of Chequesset Inn,,Round in 1C413.,,141,141_14014.pdf.png
5023,,unfinished arrow head,well flee massachusetts ,14357,Will in pasture at northwest end of large meadow.,,North of Mayo's Beach Light,,Count in 1915-,,141,141_14357.pdf.png
5736,,fragment of whipped implement,north true re massachusetts ,15430,,,Highland Light reservation,,Round in 1930.,1715,141,141_15430.pdf.png
7287,,worked frequent. quart,no mass ,9006,"Area. I sq. 131. 37"" from of. 49'an 1411. 9"" deep. in brown clay below the i"" below date I.",Me. 152/1,Greg t Neck - I,,. I. em- 3,152,116,116_9006.pdf.png
6851,,2 noticed c stemmed points for spears knives whipped from felslte.,pick to count lnovascotia ,13554,,,Quarry Island0 Merigomish Harbor,Photo.No.,,0rig.No. 937,139,139_13554.pdf.png
7394,,Him hard. shell tempered,ipswich made ,8704,"Area. I. sq. 16J 33"" from of. 28"" from 17K. 7"" deep. in thin shell. 34"" below date 1.",M13/77,Great Beach Hill,Photo.No.,Associated with red bone point. 1535.,336,116,116_8704.pdf.png
2473,,Fragment of arrow point.,andover has ,7000,Round Dug. 40 1939.,M12/43,,0.,Lift of Arthur M. Hofmanm Ballardvalm pass.,1 9 2,83,83_7000.pdf.png
8870,,fragments of unfinished whipped implements(7),north true massachusetts ,15410,,,High Head or Pi 1gr 1m Heights,,Round by John E. Hopkinson in 1930.,1695,141,141_15410.pdf.png
8464,,Arrow point.,andover has ,7041,Round Dug. 19 1938.,He.152/1,,,Lift of Arthur M. Hofmann'Eallardvulm Pass.,168,83,83_7041.pdf.png
1842,,Broken plumes.,blue hill falls me ,722,French 10.4'(near stake) Of. Must below so.,Me. 152/1,Nevin Shellheap,Photo.No.,,Orig.No.7o,3,3_0722.pdf.png
2225,,Large quartette scraped.,northshore of upper chestnut hill reservoir east killing am corn ,1024,To data.,M50/1,E.D Prey c7/1,Photo.No.,,g,4,4_1024.pdf.png
628,,901281101118.,my east and of squibnocket pon martha vineyards mass ,484,Dec. 607 in shell.,M50/1,Hornblower Shell Heap,PhotO-NO-,,,2,2_0484.pdf.png
3280,,Fragment of peeped and polished stone,ellsworth fall maine ,9810,EBSl - Function of iron-flecked grey sit and the brown. 18 North of EBSl 5 Last of EBSl depth 42 from 0.,M39/7,Wasp Island,,Org 2,.7,125,125_9810.jpg.png
7490,I,Dared knife'rhyolite,enwich mass ,8803,"Area I Q. I 
5	1	5	1	1	7	906	680	121	35	79	from
5	1	5	1	1	8	1057	679	57	44	77	71
5	1	5	1	1	9	1176	673	84	40	78	12 from 81 649 deep in Shell fig below autumn I.'",M49/31,Great Beach Hill,,,,116,116_8803.pdf.png
2769,,Worked tm- Of,ipswich lane ,9057,"Area. I. Q. ISL 50"" from 16L. 41"" from 1611. i"" deep'in shell.. 30"" below",He.152/1,Grave at Nantucket,,,,116,116_9057.pdf.png
4919,,unfinished arrow head,wellfleet ukase ch set to,14223,,,Hill North of Chequesett Inn Watertanks,,Round in 19111.,,141,141_14223.pdf.png
812,,Not hard.,my blue hill falls me ,2174,French of.1 Section 153. In center of east half of section in shell below plow line below ledge.,Me. 152/1,Nevin Shellheap,,,,25,25_2174.pdf.png
