,Figured,Name,Locality,CatNo,Situation,SiteNo,Site,PhotoNo,Remarks,OrigNo,AccNo,f_name
5874,''(ccnfrrz'J'W ll,"Burden basket. Named by pack rat. Oven by labia
5	1	6	1	2	4	1164	85	116	40	81	Mob'
5	1	6	1	2	5	1319	85	207	40	69	skilled
5	1	6	1	2	6	1553	93	203	41	47	weaver
4	1	6	1	3	0	687	138	708	48	-1	
5	1	6	1	3	1	687	140	57	38	85	of
5	1	6	1	3	2	775	139	181	38	68	11111011
5	1	6	1	3	3	988	138	89	39	87	and
5	1	6	1	3	4	1107	138	117	48	82	pine
5	1	6	1	3	5	1258	139	137	38	81	root.
3	1	6	2	0	0	499	188	356	42	-1	
4	1	6	2	1	0	499	188	356	42	-1	
5	1	6	2	1	1	499	188	70	32	67	Site
5	1	6	2	1	2	686	191	169	39	67	Said.
2	1	7	0	0	0	500	338	152	31	-1	
3	1	7	1	0	0	500	338	152	31	-1	
4	1	7	1	1	0	500	338	152	31	-1	
5	1	7	1	1	1	500	338	71	31	82	Site
5	1	7	1	1	2	584	338	68	31	84	To.
2	1	8	0	0	0	501	475	1171	103	-1	
3	1	8	1	0	0	501	475	1171	103	-1	
4	1	8	1	1	0	501	475	1171	54	-1	
5	1	8	1	1	1	501	482	153	37	70	Locality
5	1	8	1	1	2	693	483	173	39	64	not's
5	1	8	1	1	3	900	484	170	45	75	camp-.
5	1	8	1	1	4	1117	475	262	52	73	(American
5	1	8	1	1	5	1408	475	264	53	47	Valleyvh
4	1	8	1	2	0	690	532	679	46	-1	
5	1	8	1	2	1	690	534	176	37	83	Plumes
5	1	8	1	2	2	900	534	109	44	47	On
5	1	8	1	2	3	1051	532	318	37	76	California.
2	1	9	0	0	0	82	824	1558	46	-1	
3	1	9	1	0	0	82	824	1558	46	-1	
4	1	9	1	1	0	82	824	1558	46	-1	
5	1	9	1	1	1	82	826	166	31	62	Remarks
5	1	9	1	1	2	299	826	86	37	71	Lift
5	1	9	1	1	3	421	826	55	36	80	of
5	1	9	1	1	4	509	827	109	35	76	Mrs.
5	1	9	1	1	5	659	825	238	36	79	Gertrude
5	1	9	1	1	6	929	825	49	35	79	H.
5	1	9	1	1	7	1018	824	172	46	45	Will
5	1	9	1	1	8	1229	824	232	46	49	Lowell'
5	1	9	1	1	9	1500	825	140	36	72	Pass.
2	1	10	0	0	0	83	973	145	38	-1	
3	1	10	1	0	0	83	973	145	38	-1	
4	1	10	1	1	0	83	973	145	38	-1	
5	1	10	1	1	1	83	973	145	38	68	Figured
2	1	11	0	0	0	1209	1002	313	28	-1	
3	1	11	1	0	0	1209	1002	313	28	-1	
4	1	11	1	1	0	1209	1002	313	28	-1	
5	1	11	1	1	1	1209	1003	157	27	62	Also/z
5	1	11	1	1	2	1411	1002	60	17	69	-",,1561,,,,,,,18,18_1561.pdf.png
3779,,,otisfield cover no sq is ,11932,surface,,,,Word C314 4 u. Qui-Ll.,,131,131_11932.pdf.png
7703,,Side scraped 27,der my ville maine ,11657,"15"" below surface top of occupation.",Me. 152/7,Seneca River,,,- 36,130,130_11657.pdf.png
2300,,Shell bracelets. Hohokem type.,ar ,6693,,M50/1,Verde,,Exchange from Lily'. Pneblm Lo'tm Arizona for Necks pottery.,10699,79,79_6693.pdf.png
4886,,fragment of whipped implement,wellfleet massachusetts ,14179,Part. path in field north of Chequesset Inn that slopes north- east to road to Apt. baker's.,,Northeast of Chequesset Inn,,Round in 19114.,,141,141_14179.pdf.png
8326,,Grass button'roll or lead and lead peasant.,held near he pedal en labrador ,1383,,,Little Hopedale,Photo.No.,Exchange with Field Museum Chicago. Collected by Duncan Strong.,177089,17,17_1383.pdf.png
7247,,Red bone point,ipswich mass ,8894,"Area. I'Q. 160 from.16(h 66"" from 170. 10)"" deep. at. base of shell. slow date I.",He.152/1,Great Beach Hill,,I.,455,116,116_8894.pdf.png
6132,,Line Broken arrowpoint.,why warren mass ,1816,,,Near Town Farm,,Rake collection. Brookfielch Was.,27,21,21_1816.pdf.png
6521,,10 bone beads.,richmond montario con ny ,1947,,,Read.,,Prehistoric Seneca. Exchange with Municipal Museum. Rochester'N.Y.,,23,23_1947.pdf.png
6357,,Fragmentary obsidian artifice.,southern oregon ,4123,,,,,Purchased from Major 0.3. ucCIearL PortlamL Oregon by W.K. Forehead.,,30,30_4123.pdf.png
5483,,fragments of whipped implements(2),south well fleet massachusetts ,14943,,Me. 152/7,Site of the Old Try Works in Meadow,,Round in 1920.,1164,141,141_14943.pdf.png
3237,,Fragment of polished implement,ellsworth fas maine ,10252,"A59 - Round in dark brown occupation level. 21"" Last of B58 x 0"" North x 44"" below B88",M39/7,Wasp Island,Photo.No.,0cc472 Da M43 4523.27,,125,125_10252.jpg.png
4278,,Knife fragment,mind he point westshore last am perry me ,13099,L e v 61 5.,Me. 152/7,Mincher's Point,,(352) Located by Or. I.W. Kingsburjh Term he etc. 1950.,96,137,137_13099.pdf.png
2597,,Thumb nail scraped quart,for ll so rep rugs pon anna ox mr ,8278,"but Siuaru of'9'00'f.. r Of law of 93"" total me 22'my -",He.152/1,J-irls' Scout 31.1119,Photo.No.,,9,110,110_8278.pdf.png
3431,,Fragment of retouohed lake,lane lake ,7758,Ache,,Mile 1074,,7/16/44. Originally catalogue as one of 3 large flakes.,74-5,108,108_7758.pdf.png
6121,,Broken arrowpoint.,war re mass ,1805,,,,,Rake collection Brookfielm Pass.,8,21,21_1805.pdf.png
4672,,shell,all and all florida ,13870,Large shell heaps on west shore of Halifax River north of Rose May Allandalg Florida.,,La Plata River,,Round in 1915.,517,141,141_13870.pdf.png
7884,,Small core knife,my south ff my ,9398,,,,,Collected by Murrnv H. Baser,1 e 2,118,118_9398.pdf.png
4138,a,Spear - trianguloim side noticed.,,12938,,,"Vicinity of Lowell, Mass",,Sawtelle Collection.,,136,136_12938.pdf.png
3484,,Writ-tempered potsherm surface eroded,ellsworth fall maine ,9921,"Of - Upper occupation area. 18"" North of-of long depth 47""(below Of(ff))",M39/7,Wasp Island,Photo.No.,,F5 .10,125,125_9921.jpg.png
25,,Hameretone.,squibnocket heath southwest side of martha vineyards mass ,41,Round in scrap.,M50/1,Squibnocket Cliff Shellheap,Photo.No.,,cn'..No.sc3/ee,1,1_0041.pdf.png
8453,,Small quart scraped.,andover has ,7074,Round. Dug. 14 1927.,M12/43,,,Lift of Arthur M. Hofmanm Eallardvala Pass.,134,83,83_7074.pdf.png
3019,,White quart scraped,ellsworth falls maine ,10117,"Of - In fire darkened area 772. 24"" North 33"" West(Of 1947 stake depth 15""",M39/7,Wasp Island,,ate 4 diet away 1.5159 7,37.56,125,125_10117.jpg.png
1271,,Perforated nine tooth peasant.,blue hill oh ll lie ,2657,"French IEEL 8 cm. below of J. a G H"" O n 43. S may picked humusl 1') Iv g",Me. 152/1,Nevin 81101 1 Hmw .,,,agfw,25,25_2657.pdf.png
6078,,Broken arrowpolnt.,brook i elm mass ,1762,,,,,From Or. Dram Brookfielm Pass.,25,21,21_1762.pdf.png
6644,,Tone felt with piece broken out of cutting edge,pick to county novascotia ,13540,eastern shell heap.,,Pig Island0 wlerigomish,PhOtO-NO-,,819,139,139_13540.pdf.png
5567,,fragment of whipped implement,south wellfleet massachusetts ,15127,,,Farm of J. P. Brown on north side Indian River,,Round by J. P. Grown in 1925.,1385,141,141_15127.pdf.png
8847,,knife,south wellfleet massachusetts ,15315,,,,,Round by J on E. Qopkinson in 1929.,1582,141,141_15315.pdf.png
8172,,Pointed core implement,bay south of site no ,9316,,Me. 152/7,,Photo.No.,Collected by Edward Rogers,Orig.No.,118,118_9316.pdf.png
8849,,fragment of unfinished whipped implement,south wellfleet massachusetts ,15322,,,"North Side of Blackfish Cr., East of RR",,Round by John E. Hopkinson in 1929.,1590,141,141_15322.pdf.png
5370,,flint chip,south wellfleet massachusetts ,14765,,,Pleasant Point,,Round in 1917.,881,141,141_14765.pdf.png
925,,Plummet.,sang lie ,2287,22. In to of human in center of section.,Me. 152/1,Nevin Shellheap,Photo.No.,,Oriz-No-1274,25,25_2287.pdf.png
4009,,He touched ll eye,met iv let led trading rose mistassini ,12647,Our A fig,,,,Site found in 1911.8.,,134,134_12647.pdf.png
2389,,Fragment of arrow point.,andover has ,6916,,M12/43,Piggery,,Lift of Arthur H. Hofmanm Ballardvalm glass.,,83,83_6916.pdf.png
4294,,Axe-adve,inches sat westshore east bay perry me ,13119,Layer. 5.,Me. 152/7,Mincher's Point,Pham.Nb.,Bunks(the) Located by Or. I.W. Kingsbury0 Merry He.0 etc. 1950.,116,137,137_13119.pdf.png
2794,,Hammerstone,all sir th falls maine ,9538,"38"" below of 1475- from of say- ran on in an area or brown soil which was necked with charcoal and bits of bone.",M39/7,Wasp Island,,(ka'Act.Of,0N1-2,120,120_9538.pdf.png
7862,,Black-on-white potsherd.,new lie rico ,6617,,,"Mimbres Valley, New Mexico",,Purchased by A.V. Bidder.,,70,70_6617.pdf.png
1736,,Piece of polished slate.,blue hill falls me ,616,French 10.4'Section of. Bottom level of shells.,Me. 152/1,Nevin Shellheap,,,,3,3_0616.pdf.png
4535,,Drilled tooth,no ca be one ,13439,"2 543 corner in black human c grave ca. a"" 33.",M50/1,Phil ' 3 Beach,,,17,137,137_13439.pdf.png
2800,.,Fragment. of whipped point,ellsworth sang maine ,9558,"of'below oh 275"" north of 5 line I'east of c line 5"" north of burned area which is 8'across north-south at this level in 3"" horizon of sand and clay",M39/7,Wasp Island,,a. 4'555 HLSO a oh 9563/ 9544,35-1,120,120_9558.pdf.png
7000,.,Enamel from Beaver'a tooth,ellsworth falls maine ,9715,,M39/7,Wasp Island,,U 4,F5-7,120,120_9715.pdf.png
1508,,left.,blue hill falls me ,2897,French 10'Section Of. Grown human and pebbles in west boundary under x.,Me. 152/1,Nevin Shellheap,,,1665,25,25_2897.pdf.png
5327,,Sandstone pebble,st petersburg for ida ,14720,Surface of shell mound near Maxim Joint near It. Petersburg.,,Carl Davis Point,,Round in 1913,1u8,141,141_14720.pdf.png
4098,O,Scraped,me he near our wish landing upon territory ,12851,,,Lurwa sh 5.,PhMm.Nm,P.J.Tutor Notes August 16 19h8-,117 .,135,135_12851.pdf.png
8463,,Quart arrow point.,an dove by case ,7108,,M13/77,,,Lift of Arthur Of. Hofmanm Ballazcctvale Pass.,0rig.No.131,83,83_7108.pdf.png
7491,,of Hands,ipswich fuss ,9122,qu in area 3451-3153 Hands z'rombelow shell,M13/77,Great Beach Hill,Photo.N0-,,Orig.No.,116,116_9122.pdf.png
3915,,Lake blade,miles se max narrow ashore law me land ,12552,,,,Photo.No.,,,134,134_12552.pdf.png
1578,,Joint of awl.,blue hill sang lie ,2967,French 10.2 Section 1013. Upper shells.,Me. 152/1,Nevin Shellheap,Photo.No.,,3903,25,25_2967.pdf.png
8267,,Line string of various-seized glass beads. with small model of polar bear at,near aim nlabrador ,1509,,,Nukasujuktok Island,Photo.No.,Exchange with Field Museum'Chicago. Collected by Duncan Strong.,,17,17_1509.pdf.png
4201,0,Soapstone,,13003,,,"Vicinity of Lowell, Mass",,Sawtelle Collection.,,136,136_13003.pdf.png
713,,Ache of broken falsity blades.,blush ill falls me ,2073,French of.3 Section of. It base of hearth in S.W. corner.,Me. 152/1,Nevin Shellheap,,( E297),,25,25_2073.pdf.png
2105,,,blue hill falls me ,986,Grave 8.,Me. 152/1,.,,,,3,3_0986.pdf.png
6807,,unfinished stone. felt or adve,pick to count lnovascotia ,13613,,,Quarry Islanm Merigomish Harbor,Photo.No.,,12 56,139,139_13613.pdf.png
6463,,Drag. arrowpoinfq side notch,two miles east of site if la mind lake going reservoir ,11045,Bursa c e.,,,PhotO-NO-,,,126,126_11045.pdf.png
6706,,Unfinished felt or adve made from,pick to county novascotia ,13536,shell heap.,,Merigomish,Photo.No.,,6,139,139_13536.pdf.png
4180,,Gentle/,,12982,,,"Vicinity of Lowell, Mass",,Sawtelle 0 Collection.,,136,136_12982.pdf.png
3941,,Late scraped,on shore of narrows between lichen and opawica lakes ,12579,Bursa ce,Me. 152/7,,Photo.No.,,0rig.No.,134,134_12579.pdf.png
8249,Collected by Duncan Strong.,,mi of jack lanes bay ,1276,,,chalced- ony.,,Exchange with Field Museum Chicago.,,17,17_1276.pdf.png
8906,,gage mm Z'unguhr'point. Of,no was had s,8953,"Area. I. by. 17J 50"" from 18J. 53"" from 18K. 7"" deep. in shell.",He.152/1,Great Beach Hill,,Bazaalow date I.,344,116,116_8953.pdf.png
282,,1 stemmed falsity arrowpoint.,eastern of squibnocket pond martha vineyards mass ,131,It 10 0.,M50/1,Hornblower Shell Heap,Photo.No.,,8/152,2,2_0131.pdf.png
5069,h,fragment of whipped implement,wellfleet massachusetts ,14416,Dug from shell layer at top of sand bank on east shore of Wellfleet May.,,Between Town Cove and Indian Neck,,bound in 1915.,6110,141,141_14416.pdf.png
6431,,3 Sores,point western side of bay leading into temiscamie his er ,11018,nm my Surface.,,,,,,126,126_11018.pdf.png
426,,3 quart arrowpoints.,eastern of squibnocket pond martha vineyards mass ,278,Dec. 407 from brown to black sand.,M50/1,Hornblower Shell Heap,Photo.No.,,,2,2_0278.pdf.png
5488,,fragment of arrowhead,south wellfleet massachusetts ,14954,,,,,Round by John E. Hopkinson in 1920.,1176,141,141_14954.pdf.png
640,,Whipped obs act.,trenton has ,2000,A the.,H35,Scudding Pond,,Lift of Maurice Sobbing Attleboro. Was.,H35-G,24,24_2000.pdf.png
7998,,Drag. Knife,lake in temiscamie river miles from mouth ,9188,,M50/1,,Photo.No.,,,118,118_9188.pdf.png
4869,,fragment of whipped implement,wellfleet massachusetts ,14157,Must east of large sand bank on east side of Wellfleet Am between Indian Neck and Down Love.,,Between Indian Neck and Town Cove,,Round in 19114.,339,141,141_14157.pdf.png
5290,i,fragment of whipped implement(3),south well flee massachusetts ,14677,,,Pleasant Point,,Round by John ll. Hopkinson in 1917.,9 3b,141,141_14677.pdf.png
519,,Piece of colonial pottery.,eastern of squibnocket pond martha vineyards mass ,374,Dec. 10 above plow line.,M50/1,Hornblower Shell Heap,Photo.N0-,,8/24,2,2_0374.pdf.png
6696,,Fragment of pottery,alone bay novascotia ,13486,Clock 230 about 8 inches below surface.,,Weisner Shellheap,,,,139,139_13486.pdf.png
5052,,knife e,wellfleet massachusetts ,14392,Dug from shell layer at top of large sand bank on east shore of lellfleet May.,,Between Town Cove and Indian Neck,,Round in 1915.,616,141,141_14392.pdf.png
333,,1 rubbing stone.,eastern of squibnocket pond martha spine march mass ,184,Dec. Of sand and shell on south side.,M50/1,Hornblower Shell Heap,Photo.No.,with,3/127,2,2_0184.pdf.png
3789,,Hammerstmle,or in in al out let cash short tr lo mrs on lake maine ,11943,S by a u e,Me. 152/1,' T e gar,,v. Word Molle action.,,131,131_11943.pdf.png
1551,,Plummet.,blue hill fell ame ,2940,French 10.2 Section 10E. of. corner in shell lens.,Me. 152/1,Nevin Shellheap,Photo.No.,,,25,25_2940.pdf.png
7760,,detour ed lake,term vilna maine ,11742,"5-11 top of i'Are 31"" 5-11 25"" A-go",Me. 152/7,Denny's dbi ver,,,-179,130,130_11742.pdf.png
7389,,Worked fragment M,ipswich has ,9035,"Area I. Q. 12-1 72"" from 121. 60"" from 131. 9"" deep..in thin shell. in 1310.",M13/77,Great Beach Hill,,,410,116,116_9035.pdf.png
8304,,ll'fragment of old skin.,near na inn labrador ,1457,,,Nukasujuktok Island,Photo.No.,Exchange with Field Museum Chicago. Collected by Duncan Strong.,177172,17,17_1457.pdf.png
8480,,Fragment of scraped.,andover mass ,7061,Round June 20 1959.,He.152/1,,,Lift of Arthur of. Hofmanm Ballardvalm Pass.,179,83,83_7061.pdf.png
2079,,Piece of pointed bone gouge.,blue hill falls me ,960,French 10.2'Section 912. Above ii959.,Me. 152/1,Nevin Shellheap,Photo.No.,,,3,3_0960.pdf.png
954,,Joint of spear head.,blue hill fallen lie ,2316,French 10.2'Section of. In lower part of shell in east part of section.,Me. 152/1,Nevin Shellheap,PhotO-NO-,,0rig.No.1066,25,25_2316.pdf.png
4239,,It of small axe-adve,up may inches sat westshore of east bay perry me ,13049,10 W wa110 all as in black humus0 pebbles 0 shell.,Me. 152/7,Mincher's Point,,,,137,137_13049.pdf.png
7792,,Utilized lake,dennysville maine ,11834,Upstream beach.,Me. 152/7,Dennys hi p er,,Located by J. 6. D. Knapton.,-2 59,130,130_11834.pdf.png
1261,,Its of broken needles.,up in ,2646,,Me. 152/1,erin 911911 Hwy.,,,,25,25_2646.pdf.png
2304,,It one bowl. Hohokam type.,ar zone ,6702,,M50/1,"Dover, Mass",,Exchange from Sila. Puohlm Gloom Rico. Necks pottery.,34402,79,79_6702.pdf.png
4407,6/21/51.,(258) More used as hammer,liberty it who bind ton me ,13266,bee map with site card.,Me. 152/1,Liberty Point,Photo.No.,Lift of Or. I.W. Kingsburm Merry He.,0rig.No.15,137,137_13266.pdf.png
6250,,5 pieces of pottery.,montgomery ny ,1988,,,Cayadutta,,Early historic Mohawk. Exchange with municipal Museum'Rochester'N.Y.,,23,23_1988.pdf.png
6462,,Knife,lake in temiscamie ri ve miles from mouth ,10912,"Excavated. 30"" deep edge of pinkish sand.",,,Photo.No.,,77,126,126_10912.pdf.png
6983,,chips(10),wellfleet massachusetts ,14576,drop of'hill in cow pasture.,,North of Chequesset Inn and Neck Road,,Round in 1916.,628,141,141_14576.pdf.png
180,,Arrow point,andover mass ,7499,1- in. deep in human just at grass roots.,M12/43,Piggery,,Lift of Arthur M. Hofmanm Ballardvalm Pass.,376,105,105_7499.pdf.png
1106,,Worn seal's nine tooth.,blue hill fell she ,2479,French 10) Section Of. Wholly stratum I.,Me. 152/1,Nevin Shellheap,Photo.No.,,Orig.No.124O,25,25_2479.pdf.png
4392,,One,inches sat westshore has bay ferry me ,13248,A ye I- 1.,Me. 152/7,Mincher's Point,,of Or. I.W. Kingsburm term he(280).,262,137,137_13248.pdf.png
4109,,the Fool to make circles and sheep,cabin east bank of bolder creek lane lake upon territory ,12891,,,,,F.J- Upon Notes.,89 .,135,135_12891.pdf.png
7660,,C.-er on Lock,enns ve maine ,11671,"0-1 56"" Of 24"" L C 1irxe1 51"" below surface.",Me. 152/1,Seneca River,,,- 51,130,130_11671.pdf.png
4958,,fragment of whipped implement,wellfleet massachusetts ,14276,Shell layer at. top of large sand bank on east shore of Wellfleet May.,,Between Town Cove and Indian Neck,,Round in mm.,1.611,141,141_14276.pdf.png
4290,,the Beaver tooth worked,mine her sat west hope mast bay perry me ,13115,Layer 5.,Me. 152/7,Mincher's Point,Photo.No.,Term'ksi256) Located by Or. I.W. Kingsbury Merry He. etc. 1950.,Orig.No.112,137,137_13115.pdf.png
5456,,unfinished arrowhead,south wellfleet massachusetts ,14890,,,J.P. Brown's asparagus farm on shore of Indian River,,round by John E. Hopkineon in 1919.,1111,141,141_14890.pdf.png
1151,,Broken bone dagger.,ulm eh in fn ll sup ,2525,Grnvp 5. 9370 5.12101P of field chart 6. stern- most. 2284 51220 on field court.,Me. 152/1,Nevin Shellheap,,RumMu,3384,25,25_2525.pdf.png
5038,,fragment of whipped implement,wellfleet massachusetts ,14376,High land bordering large meadow.,,West of Mayo's Beach Light,,Round in 1915-,589,141,141_14376.pdf.png
1532,,Plummet.,blush ill fall else ,2921,French 10 Sectioxi Of. In broken shell and dirt from middle of section.,Me. 152/1,Nevin Shellheap,Photo.No.,,,25,25_2921.pdf.png
1436,,Last of fossil shell.,fell ame ,2825,of. Black human and pebbles in yellow clay pocket at bottom of section near beach.,Me. 152/1,Nevin Shellheap,Photo.No.,,,25,25_2825.pdf.png
3377,,911311 false'am(rough,not half ve wine ,9753,"7/4.. 
5	1	5	1	2	6	614	671	12	29	47	7
5	1	5	1	2	7	677	684	13	24	53	g
5	1	5	1	2	8	718	667	13	34	60	3
5	1	5	1	2	9	839	680	19	21	71	r-7
5	1	5	1	2	10	888	668	46	32	47	1 41. 1.7"" Of M'v'l we 102m",Me. 152/7,V155 3.1 Farm.,,,,122,122_9753.pdf.png
4500,6/29/51.,Projectiles point,machiasport maine ,13383,"SKuauonHjust at turf erosion above picture rock.""",Me. 152/1,Clark's Point,,Lift of Or.l.'-N. ningsbury0 Berg/y He. banded was- Her.,,137,137_13383.pdf.png
3071,,Frdghenfaiy fonZeuaviv-i.,hamilton count ohio ,6238,Round L General Digging.,,Turner Mounds,,Collected by Putnam 81 Met in 1886. Embody Museum Necks exchange.,o. A668,34,34_6238.pdf.png
7175,,Touched lake,alaska hi gig way west of whitehorse upon territory ,12712,,,1015,Photo.N0.,I'.J. Upon Notes June L 19148.,L4.,135,135_12712.pdf.png
1237,,Small plumes.,else his fall ten ,2620,42. Strhfim I(shells and ash) near surface'11 cm 19.2 live near center.,Me. 152/1,Nevin Shellheap,,,,25,25_2620.pdf.png
3906,,Potsaerds,es norm outlet had gland at beginning of portages trail ,12541,"pit no. 2. 3"" below round level at base of grass roots.",,,Photo.No.,,Orig.No.,134,134_12541.pdf.png
7828,,Enter flakes.,,6655,,,,,Purchased by ARI. Bidder.,,70,70_6655.pdf.png
8760,,arrowhead,scut th wellfleet massachusetts ,15090,,,Garden of G.S. MacFarland on North Side,Photo.No.,round by John 15. Hopkinson in 1923.,1345,141,141_15090.pdf.png
88,,20 chips and red acts,may ,7358,From the surface of the beach and flats along and below the western bank of the seat.,M39/7,Grassy Island,0.,Collected by Johnson'Dream Raum Benninghoff.,,102,102_7358.pdf.png
2124,,Broken barbed harpoon.,blue hill falls me ,1005,From pebbles above grave 2.,Me. 152/1,Nevin Shellheap,,Taken from scrap.,A37,3,3_1005.pdf.png
8517,,2 arrow point tips touched.,and over glass ,7128,,M12/43,,Photo.No.,Lift of Arthur H. Hofmann Ballardvalm Pass.,102,83,83_7128.pdf.png
