,Cat Number,Site Number,Locality,Site,Name,Situation
69,l Cat.No. 155],,"Locality Lucy's camp, Yosemite, California.",Site Miwok.,"Name [inhaling plate.

, _, -AL1,_ Q'-1_.J.\",Situation
70,Cat. No. 1552,,"Locality Soda Spring camp near Indian Valley,
Plumas Oo. , California.","\UGUXULLII! Inlay, pUBD$ULy Lunuv,

Site Maidu.",Name winnowing plate. Typical weave of I,Situation
71,I Cat.No. 155:,,! Locality Madera or Mariposa counties of Cal.,"mlposa counues o: 08.1.. Pattern woven
Site from root of tall “brake“.","Name Basket made of the root of a coarse

.__.__‘ 3A--..) 1.. 4.1.- .a-_.LL,I-|-I ,n a. -",Situation
72,Cat. No. 1554,,"Locality Camp at ""Pioneer"" 1:: American Valley
California.",Site Maidu.,Name Cooking basket .,Situation
73,I Cat. No. 155!,,"Locality 'Blind Dicks Camp"" near foot of
Yosemite Falls in Valley, California",Site Miwok .,"Name Cooking pgsket, In use for many",Situation
74,l Cat.No. 155E,,Locality California.,Site,Name Food_‘9§.sket. mono Iqua-n),Situation
75,Cat. No. 1557,,"Locality ""Capt. Alleck's camp"", American
Valley, California.","Site

Maidu.","Name Cooking basket. Hae been used for I

l—q - j: ,",Situation
76,l Cat-N0. 1.552,,"| Locality American Valley, California.",Site Ma idu .,"Name 090k1ng paaket. Of @1101! gyer‘

[——",Situation
77,I Cat. No. 155!,,I Locality California.,"Site

Maidu.",Name Burden basket. (Plumas 00. Indian),Situation
78,l Cat.No. 156C,,"Locality Camp at “Williams Ranch“ near Hone
Lake, California.","( mono lndl an)
Site","Name Burden basket of w}1]_._c_m_, pattern of",Situation
79,l Cat.No. 156],,"Locality ""Bob's camp"", (American Valley7),
Plumas Go. , California.","of Willow and pine root.
Site Kaidu.",Name Burden basket. Gnawed by pa_.ck rat.,Situation
80,I Cat. No. 1562,,"Locality Indian Valley, lee 00., Califor-
nia.","Site

Maidu .",Name Burden basket.,Situation
81,| Cat. No. 1562,,"Locality “Bob's Camp"" (American Valley?),
Plumas Co. , California.","weave .
Site Maidu ?","Name Burden basket. Willow woven over

,,.l_‘.. _--.L- In__‘._l __'I “‘I_~‘_A__ AA",Situation
82,Cat. No. 1564,,"Locality American Valley, Plumaa 00., Cal.","almanac. wormananlp .
Site Maidu .","Name Basket made by nary Hamilton of I

—————— 27-1‘ A.- H1--_-- A- _LA_.I..‘",Situation
83,Cat. No. 1565,,Locality California.,Site Miwok .,Name Basket made by a. child. -,Situation
84,Cat. No. 1566,,Locality California.,". ulono Indian)
Sxte","Name Cooking basket of willow,ata.1ned I",Situation
85,| Cat. No. 1567,,“unity California.,"_ Sierras. (Madam-a Co. Indian).
5“"" Yokuts ?",Name Basket made} 91’ 1:_he root of a. coarse,Situation
86,Cat. No. 1568,,"“minty Camp on headwaters of Owens River,
near Cass Diablo Springs, Calif.",Site Mono Indian.,Name Unfinished water-bottle.,Situation
87,| Cat. No. 1565,,"Locality Lucy's camp, Yosemite, California.",Site Miwok .,N?me Basket made by a cripple.,Situation
88,Cat. No. 1570,,"Locality Camp at Williams Ranch"" near Mono
Lake, California.",Site (Mono Indian),"Name Cooking basket of willow, typical

bn4ti+a sunny-IA “uni-Juan... n+-‘-AA A‘IA",Situation
89,| Cat. No. 157:,,Locality Unknown .,Site (Alaska Indian),N‘me Grass basket .,Situation
90,Cat. No. 1572,,Locality Unrecorded.,Site HOpi Indian.,Name Soiled basketry tray.,Situation
91,Cat. No. 1573,,Locality Unlm own .,Site Miwok .,Nlme Basket woven by a. child.,Situation
92,I Cat. No. 1574,,"Locality ""Mary's camp"", Yosemite Valley,
California.",". weave. (Yosemite Indian)
Site Miwok 7",Name prgimg basket. gseq for drying,Situation
93,,,"Site No.

Locality Camp near Ahwahnee, Madera Oo. . Gal.","—v—- u;y4.u.5‘ ua. aaxet. used. for drying
hulled acorns before grinding them into
Inno'l m-—-‘ --"" * ‘ ‘—",,
94,| Cat. No. 1576,,"Locality Lucy's Camp, Yosemite, California.",Site Hiwok.,Name Cooking basket .,Situation
95,| Cat. No. 1571,,WW California.,"over p1ne roocs. ""Pme tree pattern"".
51“ Maidu ? (Plumaa 00. Indian)","Name Bowl with standard. Used as con-

AL 1,,_ _.JJ q- j--,",Situation
96,Cat. No. 1578,,Locality California.,Site (Mono Indian),Name Food basket. Paiute weave. I,Situation
97,l Cit- NO- 1575,,"Locality Humboldt 00., California.",Site,Name Papoose basket for doll.,Situation
98,I Cat. No. 158:,,"Locality Mary's cup, California.","wpmn water BLOwiy amps, making a cooling
Site flying. (Yosemite Indian)",Nante- Maozzaprita cider efcraziner: U_a_ed to;,Situation
99,Cat. No. 1581,,"Umdky Camp near Goulterville, Mariposa Co.
California.","Site

Southern Miwok ?",Name Container for small articles.,Situation
