,Cat Number,Site Number,Locality,Site,Name,Situation
192,I Cat. No. 1674,,"Locality Marquette County, Wisconsin.",Site,I Name Pot shard.,Situation
193,Cat. No. 1675,,"Locality Bucks County, Pennsylvania.",Site Ne shaminy Val 1 ey .,Name Blade .,Situation
194,I Cat. No. 157g,,"Locality Bucks County, Pennsylvania.",Site Ne shaminy Valley -,"Name

Blade .",Situation
195,| Cat. No. 1671,,"Locality Bucks County, Pennsylvania.",Site Ne shaminy Valley .,Name Blade .,Situation
196,| Cat. No. 1672,,Locality Bucks County Penns?ylvania.,Site Ne shaminy Valley .,"Name

Blade .",Situation
197,| Cat. No. 167E,,"Locality Bucks County, Pennsylvania.",Site Ne shaminy Valley .,"Name

Bl ade .",Situation
198,| Cat. No. 168(,,"Locality Lehigh County, Pennsylvania.",Site Ma cungi e .,Name Flake .,Situation
199,I Cat. No. 168:,,"I Locality Lehigh County, Pennsylvania.","Site

Mammgie .",Name Flake.,Situation
200,Cat. No. 1682,,"Locality Lehigh county, Pennsylvania.","Site

Macungie.",Name Flake .,Situation
201,| Cat. No. 168:,,,Site,Name Quartz knife .,Situation
202,Cat. No. 1684,,"’ Locality Bristol, Pennsylvania.",Site,Name Gouge .,Situation
203,l Cat.No. 1681,,‘ Wit? Pennsylvania.,Site,Name Blade.,Situation
204,Cat. No. 1686,,Imam? Pennsylvania .,Site,Name Knife.,Situation
205,Cat. No. 1687,,Imam? Pennsylvania.,Site,Name Blade.,Situation
206,| Cat. No. 1681,,Mt? Pennsylvania.,Site,Name Turtlebaok.,Situation
207,Cat. No. 1689,,Mt? Pennsylvania .,Site,Name . N odule scraper .,Situation
208,Cat. No. 1690,,Locality Pennsylvania .,Site,"Name

Knife.",Situation
209,| Cat. No. 169:,,I WW Pennsylvania .,Site,Name Knife.,Situation
210,I Cat. No. 169,,10°th Pennsylvania.,Site,Name Scraper .,Situation
211,Cat. No. 1693,,WW Pennsylvania.,Site,Name Scraper .,Situation
212,I Cat. No. 1694,,MW Pennsylvania.,Site,Name Scraper.,Situation
213,| Cat. No. 1691,,| Locality Pennsylvania.,Site,Name Arrowpoint .,Situation
214,Cat. No. 1696,,Locality Pennsylvania .,Site,Name Arronpoint .,Situation
215,l Cat.No. 169',,I Reality Pennsylvania.,Site,Name Arrowpoint .,Situation
216,Cat. No. 1 698,,Locality Penn 3y 1v ania .,Site,Name Arrowpoint .,Situation
217,I Cat. No. 1691,,‘ WW Pennsylvania .,Site,I Name Arrowpoint .,Situation
218,I Cat. No. 170(,,Locality Pennsylvania .,Site,Name Arrowoint.,Situation
219,I Cat. No. 170],,"Locality Bucks County, Pennsylvania.",Site Point Pleasant .,Name Net sinker.,Situation
220,l Cat.No. 1702,,"Locality Bucks County, Pennsylvania.",Site Point Pleasant .,Name Net sinker.,Situation
221,| Cat. No. 170:,,"Locality Bucks County, Pennsylvania.",Site Point Pleasant .,Nine Net sinker.,Situation
222,| Cat. No. 1704,,"Locality Lehigh County, Pennsylvania.",Site PohOpooo .,Name Spearhead.,Situation
223,| Cat. No. 170!,,"' Locality Lehigh County, Pennsylvania.",Site POhOpOOO .,Name Arrowpoint .,Situation
224,bat. No. 1706,,"Locality Bucks County, Pennsylvania.",Site Ne shaminy .,Name Spearhead.,Situation
225,"I Cat. No. 1'10""",,"' Locality Bucks County, Pennsylvania.",Site Near Kintnerav?le .,Name Pot shard.,Situation
226,I Cat. No. 1701,,"I WW Bucks County, Pennsylvania.",Site Near Kintnersv 1116 .,Nine Pot shard.,Situation
227,Cat. No. 1709,,"MW Bucks County, Pennsylvania.",Site Near Kintnersville .,Name Pot sherd.,Situation
228,I Cat. No. 171(,,"’ Locality Bucks County, Pennsylvania.",Site Near Kintnersville.,Nam Pot shard.,Situation
229,| Cat. No. 171],,"Locality Bucks County, Pennsylvania.",Site Near Kintner sville .,Name Pot shard.,Situation
230,Cat. No. 1713,,"Locality Bucks County, Pennsylvania.",Site Near Kintnersville .,NW Pot shard.,Situation
231,Cat. No. 1713,,"Locality Bucks County, Pennsylvania.",Site Near Kintnersville.,Name Pot shard.,Situation
232,Cat. No. 1714,,"Locality Bucks County, Pennsylvania.",Site Near Kintnersville.,Name Potsherd .,Situation
233,I Cat. No. 1711,,"I Locality Bucks County, Pennsylvania.",Site Near Kintnersville .,Name Pot shard.,Situation
234,Cat. No. 1716,,Locality Susquehanna River .,Site Hall' 3 I Bland.,Name Spearhead .,Situation
235,| Cat. No. 1711,,Locality Susquehanna River .,Site Hall ' a I Bland.,Name Spearhead.,Situation
236,I Cat. No. 1711,,WW Susquehanna River.,Site Hall ' e I sland.,Nme Spearhead.,Situation
237,I Cat. No. 171',,Locality Susquehanna River.,Site Hall' 3 Island.,Name Spearhead.,Situation
238,I Cat. No. 1731,,Locality Susquehanna River .,Si“ Hall' 3 Island.,Name Arrowpoint .,Situation
239,Cat. No. 1721,,Locality Susquehanna River.,Site Hall ' s I sland .,Name Ai'rowpoint .,Situation
240,Cat. No. 1723,,Locality Susquehanna River .,Site Hall' 3 Island.,Nine Knife.,Situation
241,| Cat. No. 172:,,WW Susquehanna River.,Site Hall ' s I Bland .,"Name

Knife .",Situation
242,Cat. No. 1724,,Locality Susquehanna River .,Site Hall ' a I sland .,Name Fish spear.,Situation
243,| Cat. No. 172:,,’ Locality Susquehanna River.,Site Hall' 8 Island.,Name Pot shard.,Situation
244,| Cat. No. 172!,,| Locality Susquehanna . River.,Site Hall ' s I Bland .,Name Potaherd.,Situation
245,| Cat. No. 1731,,"Locality Kent County, Maryland.",Site Near Rock Hall .,Name Arrow-point .,Situation
246,Cat. No. 1728,,"Locality Kent County, Maryland.",Site Near Rock Hall .,Name Arronpoint .,Situation
247,Cat. No. 1729,,"Locality Kent County, Maryland.",Site Near Rock Hall .,Name Arrowpo int .,Situation
248,Cat. No. 1730,,"Locality Kent County, Maryland.",Site Near Rock Hall .,Name Arrowpoint .,Situation
249,| Cat. No. 173],,"‘ Locality Kent County, Maryland.",Site Near Rock Hall .,Name Arrowpoint.,Situation
250,Cat. No. 1732,,"Locality Kent County, Maryland.",Site Near Rock Hall .,Name Arrowpoint .,Situation
251,| Cat. No. 173:,,"1 Locality Kent County, Maryland.",Site Near Rock Hall .,Name Arrowpoint .,Situation
252,Cat. No. 1734,,Locality Delaware .,Site,Name Potaherd.,Situation
253,I Cat. No. 173!,,"Locality Kent County, Delaware.",Site,Name Potsherd.,Situation
254,I Cat.No. 1736,,Locality W . Virginia.,Site Beech Bottom.,"Name

Celt.",Situation
255,I Cat. No. 103',,t WW W. Virginia.,Site Beech Bottom.,Name Leaf-shaped blade .,Situation
256,Cat. No. 1738,,Locality W. Virginia.,Site Beech Bottom.,Name Leaf-shaped blade .,Situation
257,Cat. No. 1739,,Locality W. Virginia.,Site Beech Bottom.,Name Steamed. blade .,Situation
258,I Cat. No. 174‘,,’ Locality W. Virginia.,Site Beech Bottom.,"Name

'mbular pipe (2 pieces).",Situation
259,Cat. No. 1741,,Locality W. Virginia.,Site Beech Bottom.,Name Beads (18) .,Situation
260,Cat. No. 1743,,Locality w. Virginia.,Site Beech Bottom.,Name Beads (7) .,Situation
261,Cat. No. 1743,,Locality W . Virginia.,Site Beech Bottom.,Name Beads (3) .,Situation
262,Cat. No. 1744,,Locality W. Virginia.,Site Beech Bottom.,Name Beads (8),Situation
263,Cat. No. 1745,,Locality W. Virginia.,Site Beech Bottom.,Name Beads (10),Situation
264,Cat. No. 1?46,,"Locality Bucks County, Pennsylvania.",Site Point Pleasant.,Name Pot shard.,Situation
265,Cat. No. 1747,,Locality Eastern United States.,Site,Name Celt.,Situation
266,Cat. No. 1748,,"I
Locality Punta. Rassa, Florida.",Site,Name Plummet .,Situation
267,| Cat. No. 1741,,", Locality Pennsylvania?",Site,Name Arrowpoint .,Situation
268,Cat. No. 1750,,Locality Pennsylvania?,Site,Name Arrowpoint .,Situation
269,Cat. No. 1751,,Locality New Jersey or Pennsylvania.,Site,Name Arrowpo int .,Situation
270,Cat. No. 1? 53,,Locality New Jersey or Pennsylvania.,Site,Name Arrowpoint .,Situation
271,| Cat. No. 1752,,Locality Susquehanna River.,Site Hall ' e I sland.,Name Arrowpoint .,Situation
272,Cat. No. 1754,,,Site,Name Quartz knife .,Situation
273,I Cat. No. 1751,,"‘ Locality W. Brookfield, Mass.",Site,Name Broken arrowpo int .,Situation
274,Cat. No. 1756,,"Locality W. Brookfield, Mass.",Site,Name Broker; arrowpoint .,Situation
275,| Cat. No. 1751,,"Locality W. Brookfield, Mass.",Site,Name Broken aImeoint .,Situation
276,| Cat. No. 1751,,"Locality W. Brookfield, Mass.",Site,Name Broken arrowpoint .,Situation
277,Cat. No. 1759,,"Locality Warren, Mass .",Site Maple Farm.,Nun: Adze .,Situation
278,I Cat. No. 176‘,,"' Locality W. Brookfield, Mass.",Site Near Dean' 8 Brook.,Name Small hammerstone .,Situation
279,I Cat. No. 176:,,"Locality W. Brookfield, Mass.",Site,Name Broken arrowpoint .,Situation
280,I Cat. No. 176;,,"' Locality W. Brookfield, Mass.",Site,Name Broken arromo int .,Situation
281,I Cat. No. 176,,"Locality W. Brookfield, Mass.",Site,Name Broken arrowpoint .,Situation
282,Cat. No. 1764,,"Locality W. Brookfield, Mass.",Site Near Quaboag River.,Name Broken arrowpoint .,Situation
283,| Cat. No. 176!,,"Locality W. Brookfield, Mass.",Site Near Dean' 8 Brook.,Name Broken arrowpoint.,Situation
284,Cat. No. 1,M50/1,"Locality Squibnocket Head, so
Martha' 3 Vineyard, M",Site Squibnocket Cliff .,Name Butt of arrowhead.,Situation on sand under shell just south of stake 1.
285,Cat. No. 2,M50/1,"Lmnmw Squibnocket Head, so
Martha's Vineyard, M",Site Squibnocket Cliff.,Name Butt of quartz knife.,Situation Black sandy loam near stake 2.
286,| Cat. No. 3,M50/1,"Locality Squibnocket Head, sou
Martha' 3 Vineyard, Ma",Site Squibnocket Cliff .,Name Crude quartz point.,"Situation Black sandy loam, 1M. east of stake A."
287,Cat. No. 4,M50/1,"Locality Squibnooket Head, so
Martha's Vineyard, M",Site Squibnocket Cliff.,Name Urude quartzite apea:,Situation Top of first shell layer.
288,I Cat. No. 5,M50/1,"Locality Squibnocket Head, sou
Martha' 3 Vineyard, Ma",Site Squibnocket Cliff .,Name Crude chopper.,Situation Underneath lowest shell layer.
289,| Cat. No. 6,M50/1,"Locality Squibnooket Head, sou
Martha' 8 Vineyard, Ma",Site Squibnocket Cliff.,Name Crude rectangular qua],"Situation W. of edge of lower shell, near stake A."
290,I Cat. No. 7,M50/1,"Locality Squibnocket Head, sou
Martha' 8 Vineyard, Ma:",Site Squibnocket Cliff .,Name Crude quartz arrowheac‘,Situation On top of heap.
291,| Cat. No. 8,M50/1,"Locality Squibnocket Head, sou
Martha' 8 Vineyard, Ma",Site Squibnocket Cliff .,Name Crude broken point.,"Situation Hard packed loam, W. of stake A."
292,Cat. No. 9,M50/1,"Locality S quibnocket Head, so
Martha' 8 Vineyard, M",Site Squibnocket Cl iff .,Name ktubbing stone.,Situation Bottom of first shell layer.
293,| Cat. No. 10,M50/1,"Locality Squibnocket Head, sou
Martha' 3 Vineyard, Ma",Site Squibnocket Cliff.,Name ridge of crude chipped,Situation On top of heap.
294,I Cat. No. 11,M50/1,"Locality Squibnocket Head, sou
Martha' 8 Vineyard, Mal",Site Squibnock et Cl iff .,Name Rounded butt of quartz,Situation Hard black loam E. of stake 1.
295,I Cat. No. 12,M50/1,"Locality Squibnocket Head, sow
Martha' 6 Vineyard, Mal",Site Squibnocket Cliff .,Name Point of crude arrowhe,"Situation In top layer of broken shell and loam almost upor

__¢I_ _L-1‘I -I_"
296,I Cat. No. 13,M50/1,"Locality Squibnocket Head, sou
Martha' 3 Vineyard, Ma:",Site Squibnocket Cl iff .,Name Points of quartz arrow.,Situation Black occupational dirt.
297,| Cat. No. 14,M50/1,"Locality S quibnocket Head, sou
Martha's Vineyard, Ma",Site Squibnocket Cliff .,Name Point of large quartz,Situation On top of heap.
298,I Cat. No. 15,M50/1,"Locality Squibnocket Head, sou
Martha' 5 Vineyard, Ma",Site Squibnocket Cliff.,"Name Quartz_ar1jow head, thj",Situation Bottom of black loam and shell.
299,I Cat.No. 16,M50/1,"Locality Squibnocket Head, sou
Martha' 3 Vineyard, Ma","Site

Squibnocket Cliff .",Name Red quartzite k?) arrt,Situation Bottom of black loam and shell.
300,m Cat. No. 17,M50/1,"Locality Squibnocket Head, sou
Martha' 8 Vineyard, Ma",Site Squibnocket Cliff.,"Name Crude arrow point, n01",Situation Top of heap.
301,I Cat. No. 18,M50/1,"Locality Squibnocket Head, sou
Martha' 3 Vineyard, Ma",Site Squibnocket Cliff.,"Name Crude knife H), quar‘",Situation Bottom of scallop shells.
302,I Cat. No. 19,M50/1,"Locality Squibnocket Head, sou
Martha' 6 Vineyard, Ma:

Q",Site Squibnooket Cliff.,Name Quartz arrow point.,"lower
Situation In black dirt above/shell layer N.E. of p11; 3,"
303,I Cat. No. 20,M50/1,"Locality Squibnocket Head, sou
Martha' 3 Vineyard, Ma",Site Squibno cket Cl iff .,Name Butt of large crude k1,Situation Pit 4 east of gu11Y-
304,I Cat. No. 21,M50/1,"Locality Squibnocket Head, sou
Martha' 3 Vineyard, Ma",Site Squibnocket Cliff.,Name Broken quartz arrowhe:,Situation First shell layer above scallops.
305,| Cat. No. 22,M50/1,"Locality S quibnocket Head, sou
Martha' 8 Vineyard, Ma:",Site Squibnocket 01 if f .,Name Broken quartz arrowhea,Situation Black humus between first and second shell layer:
306,I Cat. No. 23,M50/1,"Locality Squibnocket Head, sout
Martha' 3 Vineyard Mas",Site Squibnocket Cliff.,Name Crude arrowhead.,35mm“ Below second shell layer in yellowish black humus
307,Cat. No. 24,M50/1,"Locality Squibnocket Head, so
Martha' 8 Vineyard M",Site Squibnocket Cliff .,Name Butt of arrowhead.,Situation Below second shell layer in brown humus.
308,Cat. No. 25,M50/1,"Locality Squibnocket Head, so
Martha' 8 Vineyard, M",Site Squibno cket Cliff .,Name Quartz knife.,Situation In base of first shell in W. part of heap.
309,Cat. No. 26,M50/1,"Locality Squibnocket Head, so
Martha‘ a vineyard, M",Site Squibnocket Cliff.,Name Quartz knife.,Situation In humus below first shell in W. side of heap.
310,Cat. No. 27,M50/1,"140981“? Squibnocket Read, 30111
Martha' a Vineyard Mat",Site Squibnocket Cliff.,Name Quartz flake arrow.,Situation In humus below second shell in W. side of heap.
311,| Cat. No. 38,M50/1,"Locality Squibnocket Head, sou1
Martha' 3 Vineyard, Mat",Site Squibnooket 01 if f .,N‘me Quartz arrow.,Situation In humus near pocket of second shells.
312,Cat. No. 39,M50/1,"Locality Squibnocket Head, so
Martha' 3 Vineyard, M",Site Squibnocket Cliff .,Name Butt of‘large chippet,Situation In black muddy loam west end of heap.
313,Cat. No. 30,M50/1,"Locality Squibnocket Head, sout
Martha.‘ 8 Vineyard, Mas",Site Squibno cket Cl iff .,"Name

Hoe.",Situation Trench I at base of shells.
314,| Cat. No. 31,M50/1,"Locality Squibnocket Head, 80111
Martha' 3 Vineyard, Mat",Site Squibnocket Cliff .,Name Unfinished slate knife,Situation In small shell pit east of shellheaps of
315,| Cat. No. 32,M50/1,"Locality Squibnocket Head, sou
Martha' 8 Vineyard, Ma:",Site Squibnocket Cliff .,Name Unfinished quartz lmii,Situation In small shell pit east of shellheap of
316,| Cat. No. 33,M50/1,"Locality Bquibnocket Head, 80111
Martha's Vineyard, Mae",Site Squibnocket Cliff.,Name Quartz arrowhead.,Situation In very small shell pit located on bank east of
317,Cat. No. 34,M50/1,"Locality Squibnocket Head, Bout
Martha' 8 Vineyard, Mae",Site Squibnocket Cliff.,Name Flint arrowhead.,Situation Top of first shell layer (west).
318,Cat. No. 35,M50/1,"Locality Squibnocket Head, sou“
Martha's Vineyard, Ma:",Site Squibnocket Cliff.,Name one quartz arrow.,Situation Upper shell Tr.1.
319,I Cat. No. 36,M50/1,"Locality Squibnocket Head, sout
Martha' 8 Vineyard, Mas",Site Squibnocket Cliff .,Name Quartz arrow.,Situation In shell in Tr.I.
320,Cat. No. 37,M50/1,"hx??y Squibnocket Head, so
Martha's Vineyard, M",Site Squibnocket Cliff.,Name Broken arrow.,Situation In shell in Tr. I.
321,| Cat. No. 38,M50/1,"Locality Squibnocket Head, Bout
Martha' 8 Vineyard, Mae",Site Squibnocket Cliff.,"Name Crude unfinished chipp

__A.l_‘A.",Situation In shell in TI.I.
322,Cat. No. 39,M50/1,"Locality Squibnocket Head, so
Martha' 5 Vineyard, M

-L -‘I'I",Site Squibnocket Cliff .,Name Crude notched sinker.,Situation In small/pit located on bank east of excavation.
323,| Cat. No. 40,M50/1,"Locality Squibnocket Head, sout
Martha) 6 Vineyard, Mas",Site Squibnocket Cliff.,Name Broken point .,Situation Near hearteIII in humus below shells.
324,Cat. No. 41,M50/1,"Locality Squibnocket Head, sou1
Martha.I s Vineyard, Ma:",Site Squibnocket 01 if f .,Name Kameratone.,Situation Found in scrap.
325,I Cat. No. 42,M50/1,"Locality Squibnocket Head, aout
Martha' 3 Vineyard, Mae",Site Squibnooket 01 iff .,Name Deer ulna. awl.,"Situation First shell layer, N.E. of stake B."
326,| Cat. No. 43 T,M50/1,"Locality Squibnocket Head, 50111
Martha's Vineyard, Ma:",Site Squibnocket Cliff.,Name Point of broken awl.,Situation In hard packed loam.
327,Cat. No. 44,M50/1,"Locality Squibnocket Head, sou1
Martha' 3 Vineyard, Mas",Site Squibnocket Cliff .,Name Bone awl.,"Situation Beneath shell in black sandy loam, near stake A"
328,| Cat. No. 4-5,M50/1,"Lawmw Squibnocket Head, sout
Martha' 8 Vineyard, Mas",Site Squibnocket Cliff.,"Name Very small. bone awl, o","Situation Lower scallop shell, near stake B."
329,Cat. No. 46,M50/1,"Locality Squibnocket Head, eout
Martha' 8 Vineyard, Mae",Site Squibnocket 01 if f .,Name Piece of worked bone.,Situation Shells of lower layer.
330,I Cat. No. 47,M50/1,"Locality Squibnocket Head, sou
Martha' 3 Vineyard, Ma:",Site Squibnocket Cliff.,N'me Broken awl .,Situation First shell layer.
331,| Cat. No. 48,M50/1,"Locality Squibnocket Head, sou
Martha' 9 Vineyard, Ma",Site Squibno cket Clif f .,Name Bone awl .,Situation Near too of upper shells.
332,Cat. No. 49,M50/1,"Locality Squibnocket Head, 90‘
Martha's Vineyard, M",Site Squibnocket Cliff.,Name Middle of bone ail.,"Situation First shell layer, W. end."
333,Cat. No. 50,M50/1,"Locality Squibnocket Head, so
Martha' 8 Vineyard, M",Site Squibnocket Cliff .,Name Piece of bone awl.,Situation First shell layer.
334,| Cat. No. 51,M50/1,"Locality Squibnocket Head, sou
Martha' 6 Vineyard, Ma",Site Squibno cke 1: Cl iff .,Name Bone awl.,Situation Black occupational debris over west end of pit 1
335,I Cat. No. 52,M50/1,"Locality Squibnooket Head, sou1
Martha' 3 Vineyard, Mal",Site Squibnocket Cl iff .,Name Small bone point.,Situation In scallop shells.
336,| Cat. No. 53,M50/1,"Locality Squibnocket Head, sou
Martha' 3 Vineyard, Ma:",Site Squibnocket Cliff.,Name Blue wampum bead.,Situation Top of heap near west end of cut.
337,| Cat. No. 54,M50/1,"locality Squibnocket Head, sou
Martha} 8 Vineyard, Ma:",Site Squibnocket 01 iff.,Name Antler tine awl.,"Situation In black dirt above lower shell layer west of

__4IA. n"
338,Cat. No. 55,M50/1,"Locality Squibnocket Head, so
Martha' 3 Vineyard, M",Site Squibnocket Cliff.,Name Antler socket.,Situation In shells at base of first layer at west end.
339,Cat. No. 56,M50/1,"Locality Squibnocket Head, sou1
Martha's Vineyard, Ma:",Site Squibno cket 01 if f .,Name Broken all.,Situation In base of first shell in W. part of heap.
340,| Cat. No. 57,M50/1,"Locality Squibnocket Head, sou
Martha' 5 Vineyard, Mal",Site Squibnocket 01 iff.,Name Broken awl .,Situation In base of first shell in W. part of heap.
